p_val,puntaje,q_refs,caso
0.85,0.081405923310277,1,0
0.85,0.076948597270581,2,0
0.85,0.082736014193789,3,0
0.85,0.077136988619246,4,0
0.85,0.079595600211305,5,0
0.85,0.078818524587779,6,0
0.85,0.079600963109869,7,0
0.85,0.079835760915823,8,0
0.85,0.081629730097741,9,0
0.85,0.080366598445692,10,0
0.85,0.081641473541741,11,0
0.85,0.078886818610521,12,0
0.85,0.081764196248935,13,0
0.85,0.07966944441577,14,0
0.85,0.080229320317162,15,0
0.85,0.078324607175087,16,0
0.85,0.082202323618444,17,0
0.85,0.080858053498616,18,0
0.85,0.082836499949035,19,0
0.85,0.078734259515448,20,0
0.85,0.078309304590544,21,0
0.85,0.080365702206375,22,0
0.85,0.080351536334158,23,0
0.85,0.079874012963489,24,0
0.85,0.080783222008961,25,0
0.85,0.079542636868219,26,0
0.85,0.0813096993017,27,0
0.85,0.081126060021577,28,0
0.85,0.078211466414255,29,0
0.85,0.079424986684336,30,0
0.85,0.079554572415361,31,0
0.85,0.081108397221192,32,0
0.85,0.081524563571492,33,0
0.85,0.078753304004417,34,0
0.85,0.080504982883601,35,0
0.85,0.080412999893149,36,0
0.85,0.080564252520842,37,0
0.85,0.080067402841821,38,0
0.85,0.08040748436768,39,0
0.85,0.079995559529678,40,0
0.85,0.080976650287105,41,0
0.85,0.077981311502486,42,0
0.85,0.078470029874592,43,0
0.85,0.080268380746799,44,0
0.85,0.079523791787378,45,0
0.85,0.080095974955044,46,0
0.85,0.080092294924204,47,0
0.85,0.079462386318373,48,0
0.85,0.080498519844164,49,0
0.85,0.083011278859949,50,0
0.85,0.08172622853746,51,0
0.85,0.08130550261706,52,0
0.85,0.080413262133999,53,0
0.85,0.078669075654057,54,0
0.85,0.081721243531637,55,0
0.85,0.078830332383753,56,0
0.85,0.081698518187115,57,0
0.85,0.081086714555531,58,0
0.85,0.080888748739134,59,0
0.85,0.081600163804627,60,0
0.85,0.079500745747109,61,0
0.85,0.078928478556764,62,0
0.85,0.080754197231063,63,0
0.85,0.079328473193459,64,0
0.85,0.083128133723101,65,0
0.85,0.082259878262305,66,0
0.85,0.080929904942724,67,0
0.85,0.08000395352945,68,0
0.85,0.081318658563508,69,0
0.85,0.079690507509316,70,0
0.85,0.080957257287063,71,0
0.85,0.080256919949343,72,0
0.85,0.080139135929773,73,0
0.85,0.07866831819,74,0
0.85,0.079976377144938,75,0
0.85,0.079292720234186,76,0
0.85,0.078763635206602,77,0
0.85,0.08187058444654,78,0
0.85,0.078989868760827,79,0
0.85,0.080922584157258,80,0
0.85,0.080346101240951,81,0
0.85,0.080662564704089,82,0
0.85,0.08029569575426,83,0
0.85,0.079089789906011,84,0
0.85,0.080899561145653,85,0
0.85,0.079831964002898,86,0
0.85,0.078749753630189,87,0
0.85,0.080093261466789,88,0
0.85,0.078683791178813,89,0
0.85,0.083555271893398,90,0
0.85,0.082322931184904,91,0
0.85,0.079389128500169,92,0
0.85,0.084061090568682,93,0
0.85,0.082118862829164,94,0
0.85,0.079974243589062,95,0
0.85,0.080050329408024,96,0
0.85,0.079762315186951,97,0
0.85,0.079901540250632,98,0
0.85,0.081335616748277,99,0
0.85,0.081818105785754,1,1
0.85,0.081520464478687,2,1
0.85,0.079628322928262,3,1
0.85,0.079278195827013,4,1
0.85,0.078342953723117,5,1
0.85,0.077526694405736,6,1
0.85,0.080585003479438,7,1
0.85,0.07844269075262,8,1
0.85,0.078498364727104,9,1
0.85,0.080177703689386,10,1
0.85,0.080205711651463,11,1
0.85,0.07968027269827,12,1
0.85,0.078227507609639,13,1
0.85,0.08026036635261,14,1
0.85,0.080949201631958,15,1
0.85,0.080705288347313,16,1
0.85,0.083544687527246,17,1
0.85,0.07947500404518,18,1
0.85,0.080898228365316,19,1
0.85,0.080152137062205,20,1
0.85,0.083747956484163,21,1
0.85,0.079308066593989,22,1
0.85,0.07933750222035,23,1
0.85,0.078152196300647,24,1
0.85,0.082288786828134,25,1
0.85,0.079851548486568,26,1
0.85,0.080246627395915,27,1
0.85,0.079884339796771,28,1
0.85,0.080063403236122,29,1
0.85,0.078111250101628,30,1
0.85,0.081126932538578,31,1
0.85,0.080537385625673,32,1
0.85,0.07970453955302,33,1
0.85,0.081526142065749,34,1
0.85,0.080449235147405,35,1
0.85,0.079624193639838,36,1
0.85,0.080608533519854,37,1
0.85,0.079160705509926,38,1
0.85,0.079421069898442,39,1
0.85,0.081503700158533,40,1
0.85,0.083629954391981,41,1
0.85,0.078297199910701,42,1
0.85,0.079206569850493,43,1
0.85,0.079700639908711,44,1
0.85,0.079912407026647,45,1
0.85,0.080208198824105,46,1
0.85,0.079885479831358,47,1
0.85,0.081049225895037,48,1
0.85,0.078298921274708,49,1
0.85,0.079840500368063,50,1
0.85,0.080738491810311,51,1
0.85,0.081701021087024,52,1
0.85,0.080319993951965,53,1
0.85,0.080829080201107,54,1
0.85,0.08011388366904,55,1
0.85,0.078674420254298,56,1
0.85,0.07849651196251,57,1
0.85,0.079240567156136,58,1
0.85,0.078968180085087,59,1
0.85,0.078757365456466,60,1
0.85,0.080578763971027,61,1
0.85,0.081686954224676,62,1
0.85,0.080477385501236,63,1
0.85,0.079809710827545,64,1
0.85,0.079766551218478,65,1
0.85,0.081044590348179,66,1
0.85,0.080233232732489,67,1
0.85,0.080017362792094,68,1
0.85,0.080683973986016,69,1
0.85,0.079866976880798,70,1
0.85,0.079628610827081,71,1
0.85,0.081302436103281,72,1
0.85,0.078771180962869,73,1
0.85,0.08336626376912,74,1
0.85,0.079280645029217,75,1
0.85,0.08113819088262,76,1
0.85,0.079485269378584,77,1
0.85,0.080545356851245,78,1
0.85,0.079737652212857,79,1
0.85,0.080944688798547,80,1
0.85,0.081796512412141,81,1
0.85,0.083344467536868,82,1
0.85,0.079614171353255,83,1
0.85,0.080065004306822,84,1
0.85,0.081786411043733,85,1
0.85,0.083651228253861,86,1
0.85,0.078733707553707,87,1
0.85,0.079869688070997,88,1
0.85,0.081777818386826,89,1
0.85,0.079688310323018,90,1
0.85,0.079332106802931,91,1
0.85,0.078991790080256,92,1
0.85,0.082911785466497,93,1
0.85,0.079831974571928,94,1
0.85,0.082740116088227,95,1
0.85,0.07852138393839,96,1
0.85,0.081652066505617,97,1
0.85,0.081415146429229,98,1
0.85,0.079894437862043,99,1
0.85,0.086244049712797,1,2
0.85,0.077047999955035,2,2
0.85,0.080797713504068,3,2
0.85,0.080471993454501,4,2
0.85,0.08206930190354,5,2
0.85,0.085094608940634,6,2
0.85,0.080490397111715,7,2
0.85,0.081338900950553,8,2
0.85,0.080843431646881,9,2
0.85,0.079839523340339,10,2
0.85,0.079128496921798,11,2
0.85,0.083099140322845,12,2
0.85,0.080821829917941,13,2
0.85,0.080123545776824,14,2
0.85,0.080812379483632,15,2
0.85,0.078316327835091,16,2
0.85,0.079416464868641,17,2
0.85,0.078831678635572,18,2
0.85,0.081162644591941,19,2
0.85,0.079508883934981,20,2
0.85,0.08123638789797,21,2
0.85,0.079815305255755,22,2
0.85,0.080125911923626,23,2
0.85,0.081236211916604,24,2
0.85,0.081569594696024,25,2
0.85,0.083192623221789,26,2
0.85,0.079809735738493,27,2
0.85,0.079100450673454,28,2
0.85,0.080588045558865,29,2
0.85,0.080815017982201,30,2
0.85,0.079834755491102,31,2
0.85,0.080537288674499,32,2
0.85,0.079502514390494,33,2
0.85,0.079821275706194,34,2
0.85,0.080269381416652,35,2
0.85,0.078646992295105,36,2
0.85,0.082262282269835,37,2
0.85,0.079635029091632,38,2
0.85,0.079913946986013,39,2
0.85,0.078294853036869,40,2
0.85,0.081873079667593,41,2
0.85,0.081139405897476,42,2
0.85,0.07935974547054,43,2
0.85,0.080360481123245,44,2
0.85,0.079722908259207,45,2
0.85,0.080797209883159,46,2
0.85,0.079207499466028,47,2
0.85,0.08028202664804,48,2
0.85,0.080885275665582,49,2
0.85,0.079227047578665,50,2
0.85,0.078945748255008,51,2
0.85,0.079412763563907,52,2
0.85,0.083086297805717,53,2
0.85,0.080448806273093,54,2
0.85,0.077847540938187,55,2
0.85,0.084765197037506,56,2
0.85,0.082836546251743,57,2
0.85,0.081926189507007,58,2
0.85,0.079517315616193,59,2
0.85,0.07859600140144,60,2
0.85,0.079451336474201,61,2
0.85,0.080309458674989,62,2
0.85,0.082032623539322,63,2
0.85,0.080215703834748,64,2
0.85,0.079883404131772,65,2
0.85,0.081246162053093,66,2
0.85,0.080143657694856,67,2
0.85,0.078734794482397,68,2
0.85,0.080278776930703,69,2
0.85,0.080961917589533,70,2
0.85,0.08067124255074,71,2
0.85,0.079753271360051,72,2
0.85,0.080270745336023,73,2
0.85,0.079868163281163,74,2
0.85,0.0828238734324,75,2
0.85,0.080400507249013,76,2
0.85,0.079845274336204,77,2
0.85,0.082873345394975,78,2
0.85,0.078852154780431,79,2
0.85,0.079266012462854,80,2
0.85,0.079981972485146,81,2
0.85,0.079306026179753,82,2
0.85,0.07946918540637,83,2
0.85,0.082743593724145,84,2
0.85,0.081083120414402,85,2
0.85,0.080705262655066,86,2
0.85,0.078875208968574,87,2
0.85,0.080219301692124,88,2
0.85,0.080675867319461,89,2
0.85,0.078520866688252,90,2
0.85,0.080230496402037,91,2
